ts,Protocol_name,Duration,Protocol Type,flow_duration,Header_Length,src_ip_bytes,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,urg_flag_number,ece_flag_number,cwr_flag_number,dst_ip_bytes,Rate,Srate,Drate,ack_count,syn_count,fin_count,urg_count,rst_count,max_duration,min_duration,sum_duration,average_duration,std_duration,CoAP,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,MAC,Magnitue,Radius,Covariance,Variance,Weight,Correlation,RARP,DS status,Fragments,Sequence number,Protocol Version,flow_idle_time,flow_active_time,source_ip,source_mac
1701113595.836959,TCP,48,6,0.0,110,1,0,0,0,1,1,0,0,0,1,0.0,0.0,0.0,0,0,0,1,1,1701113595.836959,1701113595.836959,1701113595.836959,1701113595.836959,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,110,110,110,110.0,0.0,110,1701113595.836959,1,808448,14.832396974191326,0.0,0.0,0.0,1,0.0,0,0,0,0,0,1701113595.836959,0.0,35.169.123.237,0
1701113595.881378,TCP,128,6,0.044419050216674805,164,1,0,0,0,0,1,0,0,0,1,45.02572635488736,45.02572635488736,0.0,0,0,0,1,2,1701113595.881378,1701113595.836959,3402227191.718337,1701113595.8591685,0.02220952510865733,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,164,54,110,82.0,28.0,54,0.044419050216674805,2,808448,12.806248474865697,39.59797974644666,784.0,1.0,4,1.0,0,0,0,0,0,0.044419050216674805,0.044419050216674805,10.216.22.121,0
1701113596.038271,TCP,128,6,0.0,92,2,0,0,0,1,1,0,0,0,1,45.02572635488736,45.02572635488736,0.0,0,0,0,1,1,1701113596.038271,1701113596.038271,1701113596.038271,1701113596.038271,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,256,54,110,85.33333333333333,23.342855200015464,92,0.15689301490783691,3,808448,13.063945294843617,33.01178240837319,544.8888888888889,1.0,9,1.0,0,0,0,0,0,1701113596.038271,0.0,10.216.22.121,0
1701113596.063784,TCP,240,6,0.0255129337310791,146,1,0,0,0,0,1,0,0,0,2,78.39161192049266,78.39161192049266,0.0,0,0,0,1,2,1701113596.063784,1701113596.038271,3402227192.1020546,1701113596.0510273,0.012756466866096557,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,310,54,110,77.5,24.346457647879703,54,0.0255129337310791,4,808448,12.449899597988733,34.43109060137364,592.75,1.0,16,0.9999999999999998,0,0,0,0,0,0.0255129337310791,0.0255129337310791,34.238.229.83,0
1701113596.33523,UDP,64,17,0.0,214,1,0,0,0,0,0,0,0,0,1,78.39161192049266,78.39161192049266,0.0,0,0,0,0,0,1701113596.33523,1701113596.33523,1701113596.33523,1701113596.33523,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,524,54,214,104.8,58.78231026422831,214,0.27144622802734375,5,808448,14.477568856683085,83.13074040329487,3455.3600000000006,1.0,25,0.9999999999999998,0,0,0,0,0,1701113596.33523,0.0,10.216.22.123,0
1701113596.803742,TCP,128,6,0.0,108,3,0,0,0,1,1,0,0,0,2,78.39161192049266,78.39161192049266,0.0,0,0,0,1,1,1701113596.803742,1701113596.803742,1701113596.803742,1701113596.803742,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,632,54,214,105.33333333333333,53.67391255432092,108,0.46851181983947754,6,808448,14.514360704718161,75.90637507994818,2880.8888888888887,1.0,36,1.0,0,0,0,0,0,1701113596.803742,0.0,10.216.22.121,0
1701113596.803921,TCP,128,6,0.0,108,4,0,0,0,1,1,0,0,0,3,78.39161192049266,78.39161192049266,0.0,0,0,0,1,1,1701113596.803921,1701113596.803921,1701113596.803921,1701113596.803921,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,740,54,214,105.71428571428571,49.70114768929036,108,0.00017905235290527344,7,808448,14.540583599999398,70.28803712770264,2470.2040816326526,1.0,49,1.0,0,0,0,0,0,1701113596.803921,0.0,10.216.22.121,0
1701113596.830825,TCP,50,6,0.02690410614013672,218,2,0,0,0,1,1,0,0,0,3,74.33809506929921,74.33809506929921,0.0,0,0,0,2,2,1701113596.830825,1701113596.803921,3402227193.634746,1701113596.817373,0.01345205307006836,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,850,54,214,106.25,46.51276706453831,110,0.02690410614013672,8,808448,14.577379737113251,65.7789860061707,2163.4375,1.0,64,0.9999999999999999,0,0,0,0,0,0.02690410614013672,0.02690410614013672,35.169.123.237,0
1701113596.830825,TCP,48,6,0.027083158493041992,218,3,0,0,0,1,1,0,0,0,4,73.84663057352877,73.84663057352877,0.0,0,0,0,2,2,1701113596.830825,1701113596.803742,3402227193.6345673,1701113596.8172836,0.013541579247045708,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,960,54,214,106.66666666666667,43.8684903369656,110,0.0,9,808448,14.60593486680443,62.03941399536982,1924.4444444444441,1.0,81,0.9999999999999998,0,0,0,0,0,0.027083158493041992,0.027083158493041992,35.169.123.237,0
1701113596.879509,TCP,128,6,0.07576704025268555,272,5,0,0,0,0,1,0,0,0,4,39.59505333710941,39.59505333710941,0.0,0,0,0,2,3,1701113596.879509,1701113596.803742,5103340790.514076,1701113596.8380253,0.031347979211493855,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1014,54,214,101.4,44.51561523780167,54,0.048683881759643555,10,808448,14.24078649513432,62.95458680668153,1981.64,1.0,100,1.0,0,0,0,0,0,0.048683881759643555,0.07576704025268555,10.216.22.121,0
