ts,Protocol_name,Duration,Protocol Type,flow_duration,Header_Length,src_ip_bytes,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,urg_flag_number,ece_flag_number,cwr_flag_number,dst_ip_bytes,Rate,Srate,Drate,ack_count,syn_count,fin_count,urg_count,rst_count,max_duration,min_duration,sum_duration,average_duration,std_duration,CoAP,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,MAC,Magnitue,Radius,Covariance,Variance,Weight,Correlation,RARP,DS status,Fragments,Sequence number,Protocol Version,flow_idle_time,flow_active_time,source_ip
1701045574.628571,UDP,128,17,0.0,99,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,1701045574.628571,1701045574.628571,1701045574.628571,1701045574.628571,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,99,99,99,99.0,0.0,99,1701045574.628571,1,808448,14.071247279470288,0.0,0.0,0.0,1,0.0,0,0,0,0,0,1701045574.628571,0.0,192.168.43.110
1701045574.628806,UDP,128,17,0.0,99,2,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0,0,0,0,0,1701045574.628806,1701045574.628806,1701045574.628806,1701045574.628806,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,198,99,99,99.0,0.0,99,0.00023508071899414062,2,808448,14.071247279470288,0.0,0.0,0.0,4,,0,0,0,0,0,1701045574.628806,0.0,192.168.43.110
1701045574.679677,UDP,64,17,0.05110597610473633,294,1,0,0,0,0,0,0,0,0,1,39.13436651520382,39.13436651520382,0.0,0,0,0,0,0,1701045574.679677,1701045574.628571,3402091149.308248,1701045574.654124,0.025552988052368164,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,393,99,195,131.0,45.254833995939045,195,0.05087089538574219,3,808448,16.186414056238647,64.0,2048.0,1.0,9,1.0,0,0,0,0,0,0.05110597610473633,0.05110597610473633,192.168.43.65
1701045574.691987,UDP,64,17,0.06318092346191406,306,2,0,0,0,0,0,0,0,0,2,31.655124528301886,31.655124528301886,0.0,0,0,0,0,0,1701045574.691987,1701045574.628806,3402091149.320793,1701045574.6603966,0.03159046173095703,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,600,99,207,150.0,51.176166327695945,207,0.012310028076171875,4,808448,17.320508075688775,72.37402849088892,2619.0,1.0,16,1.0,0,0,0,0,0,0.06318092346191406,0.06318092346191406,192.168.43.65
1701045574.692668,TCP,128,6,0.0,66,3,0,1,0,0,0,0,0,0,1,31.655124528301886,31.655124528301886,0.0,0,1,0,0,0,1701045574.692668,1701045574.692668,1701045574.692668,1701045574.692668,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,666,66,207,133.2,56.781687188740705,66,0.0006809234619140625,5,808448,16.321764610482532,80.30143211674373,3224.1600000000003,1.0,25,0.9999999999999998,0,0,0,0,0,1701045574.692668,0.0,192.168.43.110
1701045574.692856,TCP,128,6,0.0,66,4,0,1,0,0,0,0,0,0,2,31.655124528301886,31.655124528301886,0.0,0,1,0,0,0,1701045574.692856,1701045574.692856,1701045574.692856,1701045574.692856,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,732,66,207,122.0,57.56735185849702,66,0.0001881122589111328,6,808448,15.620499351813308,81.41252974819048,3314.0,1.0,36,1.0,0,0,0,0,0,1701045574.692856,0.0,192.168.43.110
1701045574.776233,TCP,44,6,0.08356499671936035,132,1,0,1,0,0,1,0,0,0,3,23.93346590698351,23.93346590698351,0.0,0,2,0,0,1,1701045574.776233,1701045574.692668,3402091149.4689007,1701045574.7344503,0.041782498359850234,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,798,66,207,114.0,56.785309971606466,66,0.08337688446044922,7,808448,15.0996688705415,80.30655550540601,3224.5714285714284,1.0,49,1.0,0,0,0,0,0,0.08356499671936035,0.08356499671936035,140.82.114.22
1701045574.776233,TCP,44,6,0.08337688446044922,132,2,0,1,0,0,1,0,0,0,4,23.98746382696421,23.98746382696421,0.0,0,2,0,0,1,1701045574.776233,1701045574.692856,3402091149.469089,1701045574.7345445,0.04168844223022461,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,864,66,207,108.0,55.43915583772899,66,0.0,8,808448,14.696938456699069,78.40280607223188,3073.5,1.0,64,0.9999999999999998,0,0,0,0,0,0.08337688446044922,0.08337688446044922,140.82.114.22
1701045574.776366,TCP,128,6,0.08369803428649902,186,5,0,0,0,0,1,0,0,0,3,35.84313569098859,35.84313569098859,0.0,0,2,0,0,2,1701045574.776366,1701045574.692668,5103136724.245267,1701045574.7484224,0.03942431190012041,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,918,54,207,102.0,54.954526656136345,54,0.00013303756713867188,9,808448,14.2828568570857,77.7174369109018,3020.0,1.0,81,0.9999999999999998,0,0,0,0,0,0.00013303756713867188,0.08369803428649902,192.168.43.110
1701045574.776422,TCP,128,6,0.08356595039367676,186,6,0,0,0,0,1,0,0,0,4,35.89978915894677,35.89978915894677,0.0,0,2,0,0,2,1701045574.776422,1701045574.692856,5103136724.245511,1701045574.7485037,0.039348879235001584,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,972,54,207,97.2,54.086597230737304,54,5.602836608886719e-05,10,808448,13.942740046346701,76.48999934631978,2925.3599999999997,1.0,100,0.9999999999999999,0,0,0,0,0,0.00018906593322753906,0.08356595039367676,192.168.43.110
